Embedding	Isolated labels	KMeans NMI	KMeans ARI	Silhouette label	cLISI	BRAS	iLISI	KBET	Graph connectivity	PCR comparison	Batch correction	Bio conservation	Total
X_pca	0.73434865	0.9578151104449745	0.9870537154462296	0.77187645	1.0	0.7108911	0.007667464	0.07733807603344593	0.96173878896282	0.0	0.3515270948963784	0.8902187347412109	0.6747420788032779
X_harmony	0.75148106	0.8309205360802104	0.6445422383481455	0.7825075	1.0	0.9024078	0.27444133	0.39052870352119884	0.8834204196804017	0.5084892091600146	0.5918574918354822	0.8018901824951172	0.7178771062312632
X_scVI	0.5971208	0.7977468324847531	0.5651231298059848	0.58241576	1.0	0.8598223	0.25694403	0.19410285514895373	0.9178259347335843	0.7102723207378402	0.587793488840079	0.7084813117980957	0.6602061826148891
Metric Type	Bio conservation	Bio conservation	Bio conservation	Bio conservation	Bio conservation	Batch correction	Batch correction	Batch correction	Batch correction	Batch correction	Aggregate score	Aggregate score	Aggregate score
